"","gene_name","ensemblID","ctrl_0000","low_0045","low_0090","low_0180","low_0360","low_0720","low_1440","high_0045","high_0090","high_0180","high_0360","high_0720","high_1440"
"1","ADGRF4","ENSG00000153294",0,-0.185187317,-0.073712619,0.757338356,1.155380047,0.85855195,0.066215675,0.090519865,0.557729049,1.574095833,2.206776459,2.723487301,3.610215552
"2","ADORA2B","ENSG00000170425",0,0.04632443,-0.168639873,-0.137292126,-0.043928289,-0.070835151,-0.753462454,-0.116365326,-0.130222188,-0.456129714,-0.421980027,-0.803274327,-2.035883261
"3","AFAP1L2","ENSG00000169129",0,-0.13574535,-0.281677743,1.099598903,0.730633103,0.197959864,-0.631569269,-0.30482506,0.195278338,1.368410503,1.356105581,1.928564782,2.353356112
"4","AKR1C2","ENSG00000151632",0,-0.144457308,0.064675108,0.347997836,0.443097336,0.663926739,0.389322837,0.084358897,0.158180868,0.500686366,0.926519309,1.148876399,2.200693205
"5","ALDH3A1","ENSG00000108602",0,-0.181436749,-0.54028263,-0.503972405,-0.774270593,-0.051732461,0.048648114,-0.15553585,-0.366956108,-0.770482583,-1.275338232,-2.087727362,-2.281362525
"6","ALPP","ENSG00000163283",0,-0.324658808,-0.372510412,-0.163876094,-0.657446247,-0.695374972,-0.008645834,-0.44783194,-0.305827019,-0.590148251,-0.855943504,-1.924442052,-2.171195169
"7","AMIGO2","ENSG00000139211",0,0.364396702,0.737920509,1.438108102,1.624324365,1.208216866,-0.695078312,0.419534477,0.905530372,1.542718057,2.141506762,2.388150778,2.00973595
"8","ANXA8L1","ENSG00000264230",0,-0.032107796,0.600624237,0.784828892,0.593941898,0.34491524,0.488927661,0.198353303,0.821294179,0.848937353,0.963457884,1.334626609,2.006110013
"9","ARL4C","ENSG00000188042",0,-0.024134089,0.415046391,1.316152814,0.86826428,0.278783896,0.489676474,0.233657982,0.474131283,1.489589487,1.526232706,2.240020445,2.20129198
"10","C5AR2","ENSG00000134830",0,-0.115657705,1.650823798,2.063652394,2.257807655,1.743253335,0.323783945,0.423100245,2.082916852,2.223621333,3.626848394,3.731985336,3.02966697
