,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
1,10-Sep,1.020700528,1.075977309,1.242623585,1.343955473,1.791902713,1.859273675,0.978659978,0.892941321,1.054846314,1.118555306,1.316038866,1.279106327,activation,2
2,2-Mar,1.048961,1.065015295,1.380111706,1.493217683,2.418326452,3.180099291,1.069927567,1.105979663,1.449520512,1.348391567,1.372922186,1.695857609,activation,2
3,ABCA5,0.972534991,1.015312707,1.293549323,1.724867482,1.832633741,2.099099247,1.000724401,1.126277056,1.246544546,1.497484715,1.361433864,1.566187582,activation,2
4,ABCD4,0.913205016,0.986489208,1.27651357,1.283468335,1.309778154,1.592045532,0.995259755,0.949915941,1.282435818,1.524981363,1.065960211,1.226506761,activation,2
5,ABHD4,1.009953309,1.315762797,1.367951552,1.452131491,1.535136808,1.804727089,0.842238761,1.08217003,1.416001558,1.353397076,1.584756423,1.304289877,activation,2
6,ABR,0.932104891,0.973274426,1.06854944,1.074095481,1.966553038,2.029632854,0.93597237,0.966855761,1.086214977,1.05892898,1.158579546,1.156046643,activation,2
7,ACAD10,0.797181367,0.961823468,1.036317708,1.421101771,1.783647342,2.224025604,0.941322782,1.005044064,1.09631077,1.286214482,1.775910491,2.145309214,activation,2
8,ACOT11,0.978060124,1.410356958,1.811536968,2.200174117,2.314618516,2.463804586,0.984400709,0.953841609,1.378203109,1.669569495,1.380658512,1.216763143,activation,2
9,ACOX3,1.084587751,1.097519334,1.203797118,1.392041402,1.442856359,1.981964478,1.134873459,1.036923315,1.131094523,1.327072577,1.389550827,1.559893919,activation,2
10,ACSF2,0.869630466,1.011876928,1.037191852,1.090947337,1.221747862,1.785494383,1.090686382,1.022144026,1.037979913,1.084904889,1.350470672,2.003213835,activation,2
11,ACVR1,0.943498158,1.033360549,1.50623444,1.749576007,2.222071132,2.295027935,0.990441961,1.130302402,1.304722899,1.385815283,1.091835919,1.449793348,activation,2
12,ADCY9,0.979210421,1.025295984,1.062097599,1.215576442,1.408245414,1.80454656,1.04925357,1.14223888,1.156302672,1.202082562,1.186979235,1.411566564,activation,2
13,AGA,0.996438441,1.036058471,1.05899334,1.293560924,1.60777684,1.63615769,1.08387397,1.118076792,1.042977176,1.012798301,1.452237825,1.639990674,activation,2
14,AGPAT2,0.969889269,0.990563603,1.171864843,1.191438317,1.417008501,1.873345704,1.424254929,1.073410617,1.241826051,1.372857607,1.433904283,1.499437882,activation,2
15,AGPAT4,0.831172737,1.007178055,1.013591152,1.256873223,1.43286742,1.592138847,1.064585789,1.098243611,1.051545201,1.041767205,1.098767051,1.019138481,activation,2
16,AGTRAP,1.019844287,1.105879832,1.276130065,1.565657171,2.021859248,2.23510768,0.98997294,1.182863717,1.401154712,1.57811259,1.453536771,1.276427709,activation,2
17,AK1,0.960203486,1.02615938,1.167976857,1.22390317,1.254393952,2.110003187,1.096703508,1.151612932,1.29656982,1.015761411,1.250176802,1.808277431,activation,2
18,AKR1C2,1.060216499,1.115879209,1.414886538,1.900684808,2.217411305,4.597001718,0.904719638,1.04584939,1.272793026,1.359519963,1.584389164,1.309778484,activation,2
19,AKR1C3,1.115174438,1.117989661,1.37486709,1.381511547,1.580952894,2.707197739,1.044435617,0.960883515,1.12437611,1.197775754,1.580083072,1.651936941,activation,2
20,AKT3,1.111364699,1.198333108,1.383261983,1.538863388,1.908340715,1.937559334,1.083733897,1.116971291,1.138401301,1.415006993,1.345415695,1.284861417,activation,2
21,ALKBH6,0.82518388,0.895315048,1.346070258,1.495631816,1.674002628,1.829056589,1.079038296,1.118989525,1.321992209,1.37483342,1.356764069,1.66648785,activation,2
22,AMZ2,1.000960208,1.055106284,1.097487192,1.17663625,1.41385395,1.455133035,0.942531206,0.965237832,1.068295207,1.345905618,1.490090645,1.684297716,activation,2
23,ANAPC2,0.966690135,0.97240527,0.973570046,0.990548179,1.020301363,1.60323856,1.128369124,1.027818656,1.025149307,1.241012552,0.975503499,1.313882256,activation,2
24,ANK3,0.949720853,0.999484249,1.046744142,1.056849301,1.118947181,1.295620822,0.902863529,0.859384336,1.06082017,1.041501819,1.346370122,1.669600369,activation,2
25,ANKIB1,1.027764783,1.060566746,1.159794242,1.504888889,1.652434815,1.687639281,0.964536073,1.075537643,1.125619856,1.33505635,1.360863872,1.491068663,activation,2
26,ANKLE2,1.069790929,1.382906731,1.716464827,1.810058857,1.860644787,2.179372053,1.10719896,1.335438287,1.625205541,1.457025531,1.114762155,0.939020968,activation,2
27,ANKRA2,1.007319269,1.088598032,1.091734775,1.354546558,2.099154041,2.229848329,1.029675178,1.062569931,0.995934936,1.494257184,2.021560135,2.172115361,activation,2
28,ANKRD11,0.94130247,0.989031907,1.083985948,1.361238738,1.398336128,1.795500805,1.055813792,1.120371303,1.085122705,1.227661504,1.307174349,1.626714413,activation,2
29,ANKRD12,1.022289057,1.085820343,1.151866828,1.424781382,1.53585751,1.70448512,1.043789913,1.116034689,1.112723777,1.305930201,1.393163784,1.426023063,activation,2
30,ANKRD36,1.048229653,1.258129134,1.286862156,1.515987154,1.659498044,2.007934998,1.062079392,1.293778836,1.476238205,1.362822239,1.568453658,1.862114673,activation,2
31,ANKRD49,1.118364883,1.15490729,1.204903199,1.299482347,1.519132272,2.118970031,1.196575917,1.112292797,1.176066256,1.388208507,1.542672732,1.977524236,activation,2
32,ANKZF1,1.022767602,1.092515456,1.226470547,1.719243974,2.367272892,2.961216196,1.084748796,1.246386997,1.545675717,1.684171549,2.186183706,2.373799425,activation,2
33,ANO6,1.076169819,1.153169364,1.393209618,1.853007374,2.001229591,2.242937365,1.177634757,1.080672838,1.261756046,1.471252027,1.052702729,1.471764375,activation,2
34,ANTXR1,1.010913954,1.06947013,1.104221672,1.173635522,1.212048879,1.584450139,1.054147666,1.068829509,0.996076505,1.14286765,1.079550402,1.218337821,activation,2
35,ANXA8,0.998750958,0.999386767,1.086973541,1.087195999,1.125989157,1.808162928,0.963858797,0.953763804,1.096534935,1.095903322,0.893901843,1.342393243,activation,2
36,ANXA8L1,1.147387975,1.766990372,1.801173745,1.94997805,2.522101976,4.016976478,0.977990397,1.516372541,1.722887968,1.50936518,1.270076362,1.403401356,activation,2
