,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
1,11-Sep,0.668160335,0.810114385,0.939276812,0.952538343,1.003277688,1.010517643,0.71200952,0.870490024,0.827333314,0.926528887,1.004920552,0.891068444,inhibition,1
2,AAMP,0.667204962,0.714454065,0.72744162,0.826478796,0.955316689,0.958066435,0.828358959,0.850593034,1.003486736,0.995619145,1.066629768,1.016819663,inhibition,1
3,AAR2,0.657306323,0.69942138,0.77930234,0.843334167,0.99267818,1.003521845,0.809187931,0.828060915,0.901821907,0.785079207,0.96640409,0.996037047,inhibition,1
4,AATF,0.509485145,0.570111945,0.655551425,0.838484601,0.961050504,0.996229042,0.706422002,0.717573275,0.763691303,0.793415164,0.952966497,0.973325901,inhibition,1
5,ABCB10,0.627205847,0.741130792,1.008609899,1.066304445,1.076581211,1.14012588,0.863307164,0.804949329,0.927169429,0.969582912,1.114037592,1.026373812,inhibition,1
6,ABCC2,0.584695032,0.625498386,0.76760048,0.841934212,0.935904718,0.956696711,0.903700295,1.351808243,0.889142737,0.993736234,1.009995799,0.98194912,inhibition,1
7,ABCD3,0.622223111,0.72498896,0.831475284,0.910240942,0.958706062,1.009266353,0.818309061,0.776749314,0.81828544,0.856628673,0.889129449,1.079949381,inhibition,1
8,ABCE1,0.482770269,0.581864709,0.713433417,0.878027292,0.989231372,1.011711651,0.815182501,0.825001326,0.781335178,0.781696473,1.014969067,0.931179434,inhibition,1
9,ABCF1,0.552826765,0.585709301,0.686283441,0.81811675,0.903302084,0.927478822,0.653099194,0.712268307,0.75102467,0.816147585,0.950789556,0.940052239,inhibition,1
10,ABCF2,0.541800249,0.555281921,0.64684809,0.85209966,0.918357173,0.933353487,0.75933286,0.861523712,0.765237125,0.870155661,0.960241269,0.97360985,inhibition,1
11,ABHD10,0.536443332,0.807160103,0.83297225,0.89238072,0.893167531,0.970400247,0.867915533,0.853758641,1.017976826,0.872855354,0.876842167,0.977077989,inhibition,1
12,ABHD11,0.547985449,0.629744346,0.717251107,0.786540015,0.8383217,0.857572347,0.652671497,0.883081988,0.916882671,0.927427155,0.917511871,0.908939734,inhibition,1
13,ABHD17B,0.565860747,0.667851033,0.809164455,0.9268939,1.027238147,1.069033838,0.714014499,0.799036393,0.696661926,0.986067857,0.969171499,0.974886471,inhibition,1
14,ABHD17C,0.425199455,0.460891852,0.571861062,0.672576127,0.986948429,1.01716944,0.735506907,0.892654158,0.7133937,0.736862853,0.971913027,0.937214983,inhibition,1
15,ABHD3,0.597342901,0.733039452,0.806854145,0.981973007,0.982112356,1.064644635,0.583136932,0.694001976,0.913581143,1.017041797,1.033082469,0.993417113,inhibition,1
16,ABRACL,0.619664958,0.743908775,0.864179371,0.937402159,0.947848459,1.026991788,0.73214811,0.606651777,0.855478749,0.896189928,0.981527255,0.857595096,inhibition,1
17,ABT1,0.554007361,0.652851182,0.727722347,0.89714728,0.992160887,1.012714032,0.768623839,0.866440707,0.861580074,0.982561855,1.078103832,1.122006649,inhibition,1
18,ACACB,0.612290307,0.755098768,0.931907077,0.980220582,1.080665554,1.089419308,0.778840564,0.770456202,1.084442725,0.989457123,1.022294093,1.022130803,inhibition,1
19,ACADSB,0.668701693,0.86051663,0.888294903,0.932771168,1.08129448,1.09225547,0.989322476,0.935818362,1.262483302,0.907285594,0.97678911,1.092932347,inhibition,1
20,ACAT2,0.638064172,0.776111044,0.872690214,0.948058403,0.956255637,0.956841418,0.705188876,0.677294237,0.936470084,0.928659441,0.923637075,0.981084346,inhibition,1
21,ACLY,0.530661815,0.665125132,0.788284576,0.942588613,0.943298426,1.012945523,0.628184202,0.677653782,0.838210081,0.920435188,0.950475267,0.951422564,inhibition,1
22,ACTL6A,0.649556156,0.756603109,0.844649101,0.920298329,0.997661106,0.999876184,0.811380669,0.839265662,0.875619295,0.849673538,1.020451337,0.979383247,inhibition,1
23,ACTR2,0.65413634,0.792082512,0.847116452,0.993451302,1.019758441,1.080549328,0.802452439,0.882839795,0.87954205,0.764261776,1.010055437,0.894956785,inhibition,1
24,ACTR3B,0.468190784,0.528087575,0.687709558,0.919209031,0.997454646,1.087021591,0.988551139,0.78962044,0.936768457,1.025412673,1.044497166,1.076095139,inhibition,1
25,ACTR5,0.629801955,0.729161393,0.739924931,0.742383792,0.814941535,0.967232162,0.752609924,0.784106122,0.994954921,0.85544622,0.958889443,1.003225674,inhibition,1
26,ACTR6,0.660869995,0.822869922,0.934336549,0.938263884,0.961204214,0.988066032,0.804705623,0.959467036,1.036886896,0.902466474,0.986535621,0.931592499,inhibition,1
27,ACYP1,0.512125302,0.798259032,0.813970249,0.816133648,0.951078067,1.018069964,0.766498831,0.932648927,0.905989574,0.74700513,0.964117526,0.984955017,inhibition,1
28,ADAT2,0.44378052,0.666400816,0.941782318,1.024053413,1.033164143,1.127711755,0.961112093,0.955385549,0.961092136,1.001903153,1.014843008,1.118606155,inhibition,1
29,ADGRE2,0.375427383,0.699753098,0.721498727,0.812430646,0.941530214,1.073442971,0.852991531,1.048044275,0.782494112,0.943027123,1.040679245,1.118172382,inhibition,1
30,ADI1,0.588217206,0.604256625,0.718687165,0.848257291,0.964989528,1.066189277,0.733351393,0.828670509,0.818022981,0.83109289,0.918727616,1.00156492,inhibition,1
31,ADK,0.545558601,0.70591664,0.813192443,0.92523288,0.980076238,1.001799928,0.87201849,0.911114793,0.866918991,0.822597003,0.95253908,0.932190968,inhibition,1
32,ADNP2,0.555186673,0.623979161,0.6934563,0.76584115,0.960576713,0.981839034,0.627114332,0.631094209,0.822835778,0.666341085,0.905624959,1.008016652,inhibition,1
33,ADRM1,0.552523276,0.669012762,0.687170162,0.811447757,0.926447252,0.961807071,0.680955703,0.771651931,0.772294073,1.031167994,0.984741019,1.097510066,inhibition,1
34,AEN,0.567716053,0.655794047,0.667100161,0.718069104,0.960561529,1.082966414,0.867849903,0.797972997,0.769198952,0.843907187,1.000384689,1.069229287,inhibition,1
35,AFG3L2,0.643444555,0.708208334,0.890960829,0.977146507,1.099236755,1.157653302,0.997351523,0.941749627,0.946634679,1.008783678,1.10119271,1.113861994,inhibition,1
36,AGAP1,0.617479336,0.661773829,0.678333338,0.83319247,0.999804999,1.065898301,0.853138586,0.970704629,0.768897442,0.829231688,0.967380909,1.028598649,inhibition,1
37,AGFG2,0.531278566,0.609037829,0.651786931,0.697421533,0.763759294,0.890294008,0.714216144,1.033312646,0.803297103,0.96167799,0.867661747,0.915223138,inhibition,1
38,AGGF1,0.811085672,0.826512082,0.853210775,0.878169556,0.899188401,0.914948005,0.90836766,0.928040814,0.662654996,0.87129444,0.728469311,0.865363468,inhibition,1
39,AGK,0.675544219,0.812847101,0.87910833,0.90530999,0.928327187,0.948223993,0.852943017,0.946424253,0.907469907,0.876909752,1.008716231,0.925851485,inhibition,1
40,AGPAT5,0.448069047,0.656152451,0.899398599,0.928048393,0.989129673,1.046570173,0.841343801,0.902503674,0.947420786,0.918137999,1.092615536,1.007507811,inhibition,1
41,AGPS,0.612248944,0.880241942,0.88791644,0.965498489,1.020532461,1.069141966,0.713940061,0.8997032,0.887119949,0.808367276,0.859652656,1.06992982,inhibition,1
42,AHCTF1,0.656899937,0.660424549,0.765610979,1.003008187,1.069379422,1.139044601,0.794049855,0.853357005,0.824221388,0.859207018,1.031301119,1.111437327,inhibition,1
43,AHCY,0.593078273,0.659380345,0.722655759,0.937622853,1.001535868,1.008035329,0.898109106,0.862019786,0.887680067,0.943078167,0.992150326,1.030587428,inhibition,1
44,AHSA1,0.400478959,0.410788472,0.631196666,0.876668137,0.902808184,0.913866758,0.543756987,0.618378494,0.739085855,0.859840516,0.915728987,0.892924969,inhibition,1
45,AIFM1,0.657194615,0.717677956,0.843870248,0.926763645,0.97759982,1.008040606,0.9623935,0.884324977,0.889373312,0.974849243,1.004244158,0.990131596,inhibition,1
46,AIM1,0.704691681,0.767621448,0.883950701,0.896835257,0.941924655,1.020713101,0.691549977,0.847948157,0.851935133,0.909539726,0.953337455,1.070163413,inhibition,1
47,AIMP1,0.62142335,0.663721597,0.848938761,1.021988242,1.033137527,1.053571958,0.88388585,0.837788715,0.856290874,1.037776223,1.000181247,0.956980409,inhibition,1
48,AIMP2,0.613906951,0.695229261,0.751928206,0.802448867,0.943322527,0.994001464,0.868939116,0.911358697,0.792188207,0.809284477,0.956302079,0.976738112,inhibition,1
49,AK2,0.529283086,0.676913809,0.829679306,0.901684842,0.973999872,1.065639688,0.939517703,0.929901524,0.928416898,0.945362233,0.975037335,1.04073095,inhibition,1
50,AK4,0.479539777,0.617715513,0.689061896,0.906515377,1.074034784,1.104215415,0.943024836,0.910275622,0.838495052,0.723667467,0.936693518,0.889170976,inhibition,1
51,AK6,0.664403,0.802668499,0.877995801,0.916006016,0.949694316,1.078250574,0.85703324,0.943031236,1.027064995,0.989525437,0.954563819,0.958623847,inhibition,1
52,AKAP1,0.550683477,0.624582656,0.7852224,0.83486707,0.997952503,1.016213388,0.736457559,0.873178056,0.912255874,1.016813663,1.07572785,1.123884142,inhibition,1
53,AKAP8,0.624722697,0.710342194,0.809195265,0.851099895,0.931432246,0.977741921,0.700640912,0.773789282,0.916105287,0.919803697,1.014004377,1.003920528,inhibition,1
54,ALAS1,0.4975055,0.792992529,0.810620221,0.811126898,0.840204206,0.989198578,0.718373274,0.924760109,0.900612392,0.904788288,0.851730783,1.070117204,inhibition,1
55,ALCAM,0.981291995,0.996232982,1.019689888,1.060840828,1.083883703,1.152882499,0.626602167,1.104492645,1.006362286,0.864025871,1.018723948,0.985508193,inhibition,1
56,ALDH16A1,0.613820852,0.741573909,0.745257683,0.82250524,0.841177131,0.893163304,0.666128181,0.773335148,0.944103167,1.063740984,1.027065442,0.93691791,inhibition,1
57,ALDH18A1,0.538071202,0.567108362,0.787133161,0.930768538,0.98054409,0.997234703,0.872017403,0.768078157,0.852474622,0.935464991,0.988303492,1.056938714,inhibition,1
58,ALDH1A3,0.52203389,0.776441048,0.908721364,1.024011995,1.060015561,1.075543572,0.59828585,0.801073802,0.830425469,1.003451532,0.897391619,0.875560973,inhibition,1
59,ALDH1B1,0.395080584,0.400580194,0.63229906,0.796876483,0.95017419,0.956431512,0.73435803,0.618392967,0.725201978,0.731987138,0.925334206,1.01764211,inhibition,1
60,ALDH3A1,0.20570339,0.23525098,0.413128292,0.58622135,0.775416797,0.897798848,1.034295277,0.96477708,0.584684158,0.705162468,0.687636185,0.881824369,inhibition,1
61,ALDH3A2,0.579977022,0.615320848,0.672196462,0.707975228,0.953575718,1.002758037,0.908690165,1.116649715,0.795288008,0.709393918,0.935988701,1.037459284,inhibition,1
62,ALDOA,0.637226835,0.669701764,0.699629262,0.896314731,0.960140157,0.980856446,0.827799593,0.954373255,0.838846974,0.973381186,0.961230428,0.949252778,inhibition,1
63,ALDOC,0.648627459,0.670031195,0.721501016,0.942611452,0.975526076,1.028097941,0.970932807,1.470954821,1.039419061,1.011649264,0.808192891,0.974940949,inhibition,1
64,ALG1,0.580462914,0.592178649,0.8435874,0.937070933,0.952717698,0.975314011,0.743201087,0.739368365,0.929740201,1.063524434,1.075941749,1.003535794,inhibition,1
65,ALG14,0.479155698,0.694478726,0.900283262,0.998615335,1.031749886,1.112910471,0.71493158,0.938961918,0.967975088,0.946998066,0.849504422,0.945173478,inhibition,1
66,ALG3,0.488682215,0.621544053,0.851286376,0.958852678,0.96783562,1.000444334,0.820220752,0.764210656,0.923036699,0.99593152,1.135342313,1.044187828,inhibition,1
67,ALG5,0.624827325,0.774746609,1.026680103,1.036793707,1.082376271,1.128388752,0.774999379,0.864103806,1.044409269,1.051709611,1.103146569,1.111420735,inhibition,1
68,ALG6,0.618226046,0.858472003,0.875272856,0.924983645,0.931291211,0.967229228,0.768226922,0.899581523,1.040559388,0.916497851,0.89348862,0.885852154,inhibition,1
69,ALG8,0.549939921,0.815192126,0.882582481,0.945922779,0.954457422,0.966994884,0.722273853,0.857437441,0.983032985,0.896305018,1.011522426,0.980455545,inhibition,1
70,ALKBH2,0.479184063,0.481138346,0.629304586,0.646904307,0.84061535,1.021968774,0.91740654,0.805171738,0.793329492,0.838959508,0.901684449,0.979943496,inhibition,1
71,ALKBH5,0.637493067,0.662729213,0.746615471,0.884210436,0.954497459,1.035031058,0.831356444,0.892518834,0.747096096,0.821049711,0.889000539,0.908194337,inhibition,1
72,ALKBH8,0.72089335,0.887327328,0.924305964,0.971113025,1.039235907,1.05711602,0.680807363,1.031768786,0.820805886,1.018622425,0.906656937,0.910072139,inhibition,1
73,ALYREF,0.424878937,0.568743687,0.790911688,0.879168454,0.983217018,0.999313765,0.558399941,0.66456459,0.897834599,1.042476114,1.039422599,0.998410773,inhibition,1
74,AMD1,0.559720496,0.583977663,0.749822943,1.068844183,1.103033024,1.215582905,0.877398282,0.815737403,0.883527194,0.940149906,1.110502513,1.118019856,inhibition,1
75,AMOTL2,0.76260091,0.793523226,0.881124454,0.944340082,0.95193457,1.088892937,0.866477101,0.653231167,0.877427491,1.144899966,1.082725938,1.006420265,inhibition,1
76,AMPD2,0.619294397,0.72818928,0.809404453,0.909632802,0.933629985,1.015533411,0.871151598,0.91409225,1.069983627,1.103074629,0.971645217,1.290928562,inhibition,1
77,ANAPC10,0.484421173,0.757871383,0.766199635,0.900992862,0.965832127,0.980219987,0.876404145,0.867311864,0.884571449,1.027597838,0.86062291,0.826031941,inhibition,1
78,ANAPC13,0.655229186,0.723274021,0.865013895,0.896654412,0.993854703,1.193732516,0.854425491,1.00228828,1.000970113,0.918024366,0.987628165,0.982332022,inhibition,1
79,ANAPC15,0.555199805,0.652563282,0.825978501,0.943527006,1.042958411,1.051096723,0.662990887,0.725639227,0.929420596,1.067480073,0.969079704,1.090706272,inhibition,1
80,ANAPC7,0.666988557,0.905498793,0.928655823,0.958263934,0.982991434,1.041150536,0.841848935,0.880267863,0.924557729,0.997473479,0.978496173,1.147333026,inhibition,1
81,ANKRD16,0.552110461,0.555891729,0.71818755,0.791893285,0.815023456,0.930240774,0.992907307,0.756968074,0.868780405,0.83014271,0.893068241,0.966195673,inhibition,1
82,ANLN,0.332526509,0.65498526,0.768894426,0.869426153,1.00381901,1.042093745,0.372945064,0.706944899,0.84818842,0.783454936,0.957968921,1.041178754,inhibition,1
83,ANP32A,0.648338486,0.779232691,0.790701266,0.901816893,0.937992683,1.009358981,0.711257858,0.824222415,0.895280915,0.854664546,0.961510578,0.912514669,inhibition,1
84,ANP32B,0.481264423,0.750979663,0.866473271,0.915753345,1.036839068,1.043377677,0.738670494,0.906319716,0.934998302,0.853799183,0.979855641,1.028060563,inhibition,1
85,ANP32E,0.300901623,0.565288273,0.779645127,0.935793891,0.977839919,0.981458179,0.511327007,0.693073858,0.790907228,0.719207809,1.013496787,0.908162543,inhibition,1
86,ANXA11,0.658279274,0.661367796,0.763082806,0.857244664,0.971102367,0.983111612,0.800896882,0.77894966,0.861153422,0.897827172,0.946172741,1.007598291,inhibition,1
87,ANXA3,0.654432261,0.858510478,0.887260996,0.965053561,0.968021908,1.041355299,0.789534645,0.832339221,0.868859643,1.055867401,1.005871849,1.183645725,inhibition,1
88,AP1B1,0.602192381,0.663346604,0.753468332,0.847840217,0.878323958,0.930240329,0.723745518,0.703122024,0.840778209,0.929792398,1.029958629,0.877839665,inhibition,1
89,AP1S1,0.645862301,0.696917446,0.72500395,0.855038166,0.934424306,0.992682486,0.876371344,1.063167913,0.827047525,0.8701117,0.890913949,0.969415292,inhibition,1
90,AP1S3,0.262808195,0.383728006,0.708501561,0.880705412,0.99511369,1.097872604,0.56075083,0.622336303,0.770317197,0.695073223,0.778283,1.083685194,inhibition,1
