,geneID,ctrl,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,ctrl,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,estm,pred
1,1-Mar,0,0.635309089,0.694698028,0.912309206,1.071025064,1.225159965,1.331065186,0,0.271132128,0.407635507,0.78300459,1.114128164,1.150102699,1.299517131,rejected,0
2,8-Mar,0,0.940518336,1.011053576,1.06539888,1.158178334,1.071307555,1.411776708,0,0.864386114,0.998667241,1.122801184,1.178228299,1.264141719,1.584178047,rejected,0
3,A2ML1,0,0.693560971,0.880417095,2.174196398,0.630658739,1.062761802,4.70450743,0,0.633135673,0.773013503,1.219454182,1.272759703,1.535567552,3.675772641,rejected,0
4,A4GALT,0,0.739088879,0.806698891,0.98050968,0.883988933,1.068111551,1.011131391,0,0.483981559,0.588270237,0.652397884,0.769595599,0.875303772,0.973358952,rejected,0
5,AAMDC,0,0.970562743,1.262514566,0.967326473,0.974537534,1.025191106,1.111492538,0,0.867798722,0.874376202,1.052960559,1.053458299,1.343894579,1.931968358,rejected,0
6,AARS,0,0.948035605,0.917531362,1.273325441,1.203056111,1.604757974,2.009781059,0,0.834818586,0.87235843,1.015550455,1.016855288,1.506924606,1.807205972,rejected,0
7,ABCA12,0,0.847244685,0.915601933,0.993700477,1.051493027,1.87990739,2.012188039,0,0.86239361,0.960320704,0.98234839,1.10631208,1.335057002,1.680926794,rejected,0
8,ABCA6,0,0.874312122,0.982026418,0.93015196,1.39012175,1.319963009,2.085965272,0,0.635717107,0.826661522,0.863870485,1.245140486,1.991176077,2.136854995,rejected,0
9,ABCA7,0,1.018632071,1.104698001,1.029482463,1.211541892,1.129789184,1.692199254,0,0.813330325,0.851495408,0.86153356,1.142031436,1.398482056,2.659472249,rejected,0
10,ABLIM3,0,0.937707499,1.00952417,0.821705408,1.204178731,1.396476198,1.10423071,0,0.928073975,0.991379978,1.311266338,1.464660355,1.630866442,1.783060314,rejected,0
11,ABTB1,0,0.920999643,1.438094388,1.140346106,2.404251733,2.679639339,2.15470773,0,0.790972151,0.81582492,0.909856098,2.542639519,3.995955993,5.336518671,rejected,0
12,ABTB2,0,0.805136455,0.838697138,1.08265544,0.696577065,0.729556204,1.558603049,0,0.744167853,1.043511838,1.381540677,1.398026559,1.46208226,2.027541356,rejected,0
13,AC0043816,0,0.590372641,0.863578719,0.895985917,1.078654611,1.300887567,1.389652655,0,0.465810028,0.891638406,0.991521498,1.082393261,1.338177471,1.517420417,rejected,0
14,AC0134611,0,0.89078852,0.782079988,0.943472697,0.967053458,1.134017172,1.365064034,0,0.942054821,0.963681959,0.997124385,1.070318777,1.241501684,1.555525812,rejected,0
15,AC0253351,0,0.851162146,1.393043083,1.156021594,1.987419802,0.85306654,0.91107166,0,0.594200147,0.710722452,0.729120728,0.896002158,0.990061041,1.015445394,rejected,0
16,AC0933233,0,1.212594727,1.067046874,1.053257898,1.118408591,1.244566073,1.255100842,0,0.673717112,0.710802974,0.944589324,1.020930202,1.166291944,1.280935925,rejected,0
17,ACAP3,0,1.062562585,0.970651163,1.229117532,0.983698156,0.908735439,1.523811297,0,0.944530467,0.99301916,0.999144475,1.064120884,1.178450362,2.353203454,rejected,0
18,ACD,0,0.742385233,0.831645811,1.096493613,1.075553879,1.111750933,1.463314154,0,0.656460866,0.812605226,0.848021521,0.851037881,0.90970488,1.068924316,rejected,0
19,ACRC,0,0.942156217,1.042740371,1.416445843,1.690607623,1.49783477,2.026485353,0,0.731443191,0.921640942,1.045102208,1.4297096,1.875515524,2.362703806,rejected,0
20,ACTB,0,0.578557017,0.932097786,0.981374848,1.012271894,1.132748764,1.026764645,0,0.766602264,0.979757562,1.047508689,1.057446494,1.107792137,1.203048626,rejected,0
21,ADAM8,0,0.880806207,1.078953125,0.988078457,0.889226781,1.953714117,2.369697031,0,0.487937933,0.774118652,0.780882231,0.931913139,1.037232675,1.531521567,rejected,0
22,ADAMTSL4,0,1.188894431,1.055167274,0.863451388,0.840403727,1.26185165,1.633924341,0,0.46798137,0.59808404,0.599429192,0.914328888,1.059654456,1.110403361,rejected,0
23,ADCK3,0,0.716235034,0.756723464,0.745735803,1.032883236,1.058173654,0.976964061,0,0.414093979,0.529051072,0.587138367,0.587899304,0.923899767,0.976480018,rejected,0
24,ADCK5,0,1.030930289,0.824419717,1.383404718,1.082176788,0.985360888,1.15302907,0,0.748552288,0.936750109,0.979254822,1.009132192,1.067550321,1.766673988,rejected,0
25,ADGRL1,0,0.644788207,0.831725587,1.137478435,1.138704038,1.095511359,1.021462677,0,0.408864874,0.667602108,0.683326545,0.885349228,0.98765039,1.050185911,rejected,0
26,ADGRL2,0,1.065502991,1.044605132,0.966313332,1.065280942,1.227806867,1.635696953,0,0.831177574,1.10035155,1.134449537,1.191717232,1.227748883,1.255383349,rejected,0
27,ADIRF,0,0.650788996,0.991367004,0.851774084,1.225006168,1.043239267,0.940531767,0,0.476734905,0.501769041,0.71862704,0.83743822,0.953517614,0.976779468,rejected,0
28,ADM5,0,0.434810514,0.456488192,0.51416565,0.753034095,1.125292372,1.408314949,0,0.348612192,0.379321324,0.455395621,0.620928473,0.726995135,1.424025011,rejected,0
29,ADORA2B,0,0.593178226,0.952086692,0.909224128,0.970010125,0.889681049,1.032630725,0,0.243858597,0.573047118,0.728939147,0.746399525,0.913690723,0.922508861,rejected,0
30,ADRB2,0,0.683084171,0.86143311,0.841316937,1.107493418,1.065410716,1.323870215,0,0.730563023,0.840533731,0.843010184,1.029707858,1.088320137,1.359878291,rejected,0
31,AFAP1L2,0,0.910199469,0.822633801,1.659367118,2.14295106,1.147075112,0.645473929,0,0.809540375,1.144945033,2.559932164,2.581859516,3.806763073,5.110116251,rejected,0
32,AGER,0,0.932386989,1.08027954,1.143571386,1.072868234,1.298776231,1.684829361,0,0.913458349,0.930723465,1.006679945,1.127840051,1.438094724,2.183215947,rejected,0
33,AHDC1,0,0.720469134,0.736522121,0.854401957,1.067628799,0.812869947,0.971104196,0,0.612724223,0.613056021,0.695460035,0.729919676,0.754277821,1.301336673,rejected,0
34,AHR,0,0.563663849,0.766262216,0.851033823,1.400953955,1.169755139,1.187621724,0,0.535415052,0.593199417,0.813168137,0.905441504,1.163997928,1.19204932,rejected,0
35,AKR1C1,0,0.853812854,0.818835811,0.771713464,1.641418763,0.95069228,1.037423419,0,0.542467793,0.648624135,0.659580581,0.717260056,0.804616215,0.967304892,rejected,0
36,ALDH3B1,0,0.875510748,1.132187294,0.969270548,1.159904806,1.850438774,2.041821566,0,0.685271881,0.904467128,1.065343733,1.139692388,1.145242294,1.661662982,rejected,0
37,ALG13,0,0.950553688,0.927294234,0.959265027,1.077818262,1.408946074,1.669900508,0,0.850638201,0.940186428,0.946644256,1.100158949,1.414262103,1.755285621,rejected,0
38,ALKBH4,0,0.712917627,0.922737891,0.997584097,0.866568224,0.864401091,0.842753157,0,0.543685811,0.822043914,0.887194354,0.900388924,0.919634439,0.928311078,rejected,0
39,ALKBH7,0,1.268758728,1.250187135,0.988409523,1.279189364,1.151850655,2.173045597,0,0.813302389,0.870520343,1.189347337,1.191334367,1.214180127,2.156253065,rejected,0
40,ALOX15B,0,0.693980114,0.869304268,0.720476793,1.826920625,1.96243269,0.863676437,0,0.579152172,0.60793139,0.712448087,0.842306916,0.887614874,0.908965188,rejected,0
41,ALPP,0,0.994025086,0.61754879,0.633999564,0.892623631,0.798487203,0.77243722,0,0.222026661,0.263442123,0.552503878,0.664274643,0.733143778,0.80897834,rejected,0
42,AMDHD2,0,0.648928283,1.367544349,0.991920007,0.966220235,1.324518645,1.212495274,0,0.600371247,0.891371904,0.927743356,0.983812233,1.002076282,1.285350001,rejected,0
43,AMER1,0,0.684960454,0.652722681,0.725904785,1.173433275,1.120277203,0.987047658,0,0.4426175,0.56871431,0.644753209,0.692328643,0.948626991,1.066432687,rejected,0
44,AMMECR1,0,1.120864762,0.746400916,0.941081773,1.237593476,0.818324139,1.104655027,0,0.64408752,0.808425944,0.843809737,0.913530319,0.989344873,1.147521152,rejected,0
45,AMPD3,0,0.944922011,1.040749665,1.231802338,1.51204822,1.558345487,2.358506019,0,0.793162008,1.01731566,1.119235065,1.400465516,1.619701407,2.290848328,rejected,0
46,ANGPTL4,0,1.095923445,2.062339729,1.99672151,0.432927821,2.941858619,6.756561418,0,1.317886095,11.11904885,2.394988782,3.634027266,6.092109315,7.746000074,rejected,0
47,ANKRD13B,0,0.675401659,0.84975176,0.828347337,0.868461341,1.076549138,0.98562686,0,0.515719276,0.67409571,0.754372173,0.864348306,0.869378962,0.880435482,rejected,0
48,ANKRD18B,0,0.588434477,0.713774568,0.918339487,0.941315895,0.965598797,1.064096056,0,0.330449179,0.658453119,0.958521444,1.070338593,1.079443949,1.140712473,rejected,0
49,ANKRD42,0,0.717041202,0.838046854,1.118366834,0.823922694,0.951211715,1.280411612,0,0.650783185,0.78012018,0.801377615,0.802946271,0.886117403,1.19791469,rejected,0
50,ANO8,0,1.091489617,0.957476682,0.896318641,0.976807916,1.094928209,1.455208531,0,0.7462686,0.759662547,0.910496435,0.941530376,1.136241771,1.810094468,rejected,0
51,ANO9,0,1.079430377,1.276730947,1.056246272,0.974358759,1.182968432,2.120681504,0,0.856131541,0.897718589,0.930171611,0.989688716,1.164802537,2.647474025,rejected,0
52,ANTXR2,0,1.254854324,1.014178865,0.952255161,1.517188453,1.266785073,2.798876904,0,0.961010052,1.028901393,1.086060913,2.002376193,3.366064895,6.932291645,rejected,0
53,AP3B2,0,0.792083654,0.8483438,1.190066062,0.979086523,1.63607803,2.188936883,0,0.806731501,0.870247578,0.962982283,0.97293898,1.664455378,1.986116209,rejected,0
54,AP4M1,0,0.872783931,0.860211125,1.133894052,1.098858144,0.981283432,1.183113721,0,0.832777179,0.874236435,1.090474044,1.245588933,1.37930863,2.333906488,rejected,0
55,AP5B1,0,0.804269834,0.893692382,1.040501673,1.037706325,0.974531853,1.324318565,0,0.919259882,1.129956871,1.230181181,1.275037826,1.515320752,1.673717604,rejected,0
56,AP5Z1,0,1.011900248,1.35268837,1.833451572,1.257049307,0.977022889,1.647255952,0,1.048901452,1.163071661,1.194847634,1.228046036,1.23105594,2.907170889,rejected,0
57,APBA3,0,0.754656822,1.000738321,1.353471959,1.482946355,1.383763427,1.52146773,0,0.788674455,0.845378231,1.273670802,1.27417516,1.414199371,1.901025636,rejected,0
58,AREG,0,0.512062571,0.701366169,1.341305915,0.984725134,1.29942311,1.380361727,0,0.300677454,0.487864326,0.778390343,0.787209384,0.899517146,1.259645823,rejected,0
59,ARG2,0,1.091574888,0.665771341,0.856781618,0.814675612,0.801654653,1.156199457,0,0.603746614,0.691607764,0.766997931,0.770182658,0.854973162,1.004302768,rejected,0
60,ARHGAP18,0,0.587088683,0.870840921,0.693125225,0.984104733,0.790747239,1.080853817,0,0.326215123,0.729455495,0.809764562,0.897455573,0.927721182,1.028880116,rejected,0
61,ARHGAP19,0,0.650115127,0.905524426,0.916537877,1.120003851,1.238617673,1.111897772,0,0.521521425,0.92993682,1.024953734,1.100752755,1.185855074,1.188020854,rejected,0
62,ARHGAP26,0,0.998109319,0.831578917,0.969109898,1.180075004,1.554237551,2.037691358,0,0.956151169,1.026380735,1.117560635,1.224512294,1.509529042,2.933148645,rejected,0
63,ARHGAP33,0,1.023436332,1.120676737,0.940572531,1.439142522,0.886628368,1.255623088,0,0.887629645,0.896630986,1.087751353,1.572264661,1.639396884,1.783635219,rejected,0
64,ARHGAP39,0,0.625071537,0.668966057,0.886903302,0.857432622,1.034108199,1.157577346,0,0.548666957,0.552520839,0.590174095,0.744666513,0.935612786,1.145742881,rejected,0
65,ARHGAP45,0,0.666817267,0.835230835,0.739534981,0.796711775,0.806271587,0.874495543,0,0.456829798,0.473936368,0.531615325,0.65982518,0.850503624,0.916623325,rejected,0
66,ARHGEF2,0,0.819039005,1.087443106,0.87654511,1.316989638,1.766201221,2.206024357,0,0.802425176,0.967202162,0.976420719,1.099771386,1.589013218,2.195980993,rejected,0
67,ARHGEF39,0,0.544077094,0.979307605,0.906702293,0.997354246,1.167594916,1.219833999,0,0.379541429,0.806373282,0.864397626,0.928203843,1.068458555,1.259229947,rejected,0
68,ARL4D,0,0.778256967,0.726191533,0.91623084,1.52385657,1.257747369,1.641493536,0,0.628983905,0.736066786,0.792298945,0.898931486,0.946638899,1.077454912,rejected,0
69,ARL6IP1,0,0.652889149,1.094435528,1.024104581,1.148001719,1.082580935,1.191018074,0,0.930122928,1.012418181,1.077742406,1.219363897,1.304826463,1.370813549,rejected,0
70,ARMC12,0,1.284141461,0.768267549,0.855675179,1.209655713,1.231527933,1.700080998,0,0.799641171,0.874103557,0.883431257,1.185457604,1.634276344,2.566598701,rejected,0
71,ARRDC3,0,0.591332798,0.976132459,0.911942211,0.879188897,1.289592206,1.806066087,0,0.871682336,0.905552451,1.083347022,1.113845625,1.351513454,1.763428913,rejected,0
72,ARRDC4,0,0.951125616,1.046148279,1.155390381,1.09946977,2.285556097,1.757038735,0,0.837483825,1.014056289,1.148833408,1.202745634,2.119291998,2.749154513,rejected,0
73,ARSJ,0,0.711526752,0.815731721,1.019165089,0.934771026,1.244910993,1.331746164,0,0.615054005,0.789818719,0.966209092,0.972157686,1.133932542,1.304540602,rejected,0
74,ARTN,0,0.983149299,0.553105562,1.841122511,3.428916006,2.183903628,3.363699556,0,0.911230597,1.438733289,1.770015458,2.817056152,3.876329492,4.17331943,rejected,0
75,ASAP2,0,0.821379054,1.103821149,0.774556754,1.094970955,1.303906947,1.381354596,0,0.910202107,1.027552996,1.256781198,1.28883588,1.569502931,1.853122551,rejected,0
76,ASIC1,0,0.901647795,0.890129797,0.877217583,0.952832428,1.643444131,0.925166589,0,0.537674742,0.747431272,0.79396067,0.807382946,0.81413916,0.948964464,rejected,0
77,ASNS,0,1.110658306,1.525655027,0.966123237,4.13843248,4.328195214,6.408172224,0,0.914837851,0.947150365,0.976257394,2.431798287,4.272428726,5.850480885,rejected,0
78,ASPM,0,0.540425394,1.032387848,1.038125453,1.049517948,1.192131824,1.188801755,0,0.54936916,0.971772254,0.994417765,1.048168747,1.327685754,1.3498317,rejected,0
79,ASS1,0,0.990056032,0.880875617,1.401187197,0.930502427,1.845506381,0.965909825,0,0.798151089,0.880416311,0.906628756,0.933942178,0.959225038,0.987361917,rejected,0
80,ATAD3A,0,0.530108147,0.72828524,0.78185561,1.028706326,1.128648322,0.928963981,0,0.367820529,0.480849534,0.625910516,0.764777184,0.910245317,0.992083185,rejected,0
81,ATAD3B,0,0.69262835,0.737973118,0.935718465,1.21465704,1.002759384,1.182127226,0,0.558909939,0.691541919,0.787523163,0.890713859,0.970244541,0.996358685,rejected,0
82,ATAD5,0,0.77441491,0.742858495,1.130835744,1.016448443,1.19009407,1.066541149,0,0.402415434,0.731698764,0.983364159,1.080636947,1.083034043,1.161514279,rejected,0
83,ATAT1,0,0.760708193,0.829375969,1.218059152,1.243156566,1.154026041,1.248213455,0,0.714071225,0.803917544,1.070836313,1.320265762,1.428913814,1.62467401,rejected,0
84,ATF5,0,0.485153052,0.657992727,0.806853447,0.825494914,1.108440983,1.276632727,0,0.352534138,0.460528432,0.478636143,0.770837482,1.058852054,1.249806182,rejected,0
85,ATF7IP,0,0.573932072,0.97258564,0.877635054,1.253746767,1.26079237,1.097130373,0,0.758577757,0.880480283,0.945194267,1.120001511,1.135129608,1.141407535,rejected,0
86,ATG16L2,0,1.01738241,0.907436557,1.195812821,1.383331082,1.588038088,1.45936171,0,0.778885142,0.86195139,1.033016154,1.322995068,1.433009615,1.627747388,rejected,0
87,ATG2A,0,1.143096634,0.873226831,1.020363742,1.135733476,1.261132232,1.674639717,0,0.817437616,0.919372879,0.935244664,0.976318474,1.179311285,1.793110556,rejected,0
88,ATHL1,0,1.111380189,1.008749041,0.90914524,1.034447244,1.035738427,1.502957363,0,0.825910083,0.866611433,0.943145172,1.028943277,1.234210499,2.391640924,rejected,0
89,ATP1B1,0,1.122826973,0.508044923,1.191558979,1.096188692,1.507021535,0.499330138,0,1.073761303,1.240357103,1.343125818,1.582248138,1.991000438,3.532008873,rejected,0
90,ATP6V0B,0,0.822658012,0.791278965,1.126336628,1.021480643,1.270797867,1.144562148,0,0.666912255,0.724811848,0.957135807,1.024318276,1.15768116,1.159062235,rejected,0
91,ATP6V0E2,0,0.715145304,0.784714496,1.097371269,1.135493295,0.918389278,1.07016004,0,0.331711172,0.485817594,0.767444155,0.97571512,0.982785483,1.106616402,rejected,0
92,ATP7A,0,0.835304547,0.833058516,1.001122897,1.079898371,1.633517711,1.44582493,0,0.929765704,0.932731013,0.967365021,1.326508814,1.988937607,2.155038006,rejected,0
93,AUNIP,0,0.711048993,0.870519251,1.021164592,1.082711655,1.038563354,1.150232213,0,0.327548312,0.70012893,0.956766116,1.04499076,1.084450261,1.192951737,rejected,0
94,AURKA,0,0.453236222,0.959853691,0.938683861,0.934646988,0.985343128,0.925918181,0,0.348590571,0.836905308,0.882637138,0.910582275,0.960784593,1.013626643,rejected,0
95,AURKB,0,0.484835954,0.7908654,1.123796116,1.095001743,1.210845553,1.081232102,0,0.366649515,0.805642256,0.971068804,1.02728537,1.027591905,1.038180981,rejected,0
96,AVPI1,0,0.580800803,0.821074205,1.166743589,1.191919912,1.076381801,1.175092247,0,0.42873477,0.571066888,0.595669057,0.74199123,0.999363895,1.122830825,rejected,0
97,B3GALT6,0,0.780345881,0.906411383,0.901824147,0.970207878,0.997979937,1.37061988,0,0.631219463,0.765153859,0.780014421,0.90369403,0.903996908,1.273509874,rejected,0
98,B3GAT3,0,1.080328941,1.058002693,0.901197649,1.029163669,1.360210873,1.746077884,0,0.757916643,0.845964286,0.896535628,0.908824845,1.130027006,1.588754605,rejected,0
99,B3GNT2,0,0.733434946,1.029979489,0.896016958,1.140398487,1.113873219,0.993963363,0,0.969210331,0.975988163,1.099335922,1.658287689,1.742784893,2.146218636,rejected,0
100,B3GNT3,0,0.888349464,0.919936108,1.188734811,0.870373301,0.905345292,1.121484253,0,0.37465641,0.684242741,0.734366057,0.781338714,0.8911965,0.909525262,rejected,0
101,B4GALNT4,0,0.814172727,0.890204017,1.127638472,1.071927217,0.945086447,1.253086885,0,0.657705585,0.757367356,0.801479646,0.8848271,0.965537131,1.227310523,rejected,0
102,B4GALT4,0,0.882678655,1.003015631,0.627433658,0.836412841,1.398215766,1.464280667,0,0.850259439,0.873728707,0.882403743,0.971158632,1.484356293,1.545542996,rejected,0
103,B4GAT1,0,0.627825045,0.987446293,0.907763344,1.062394021,1.091231039,1.001199533,0,0.492959703,0.72911234,0.79287597,0.878984774,0.93288456,0.978698516,rejected,0
104,BACH1,0,0.8308501,1.214816935,1.294676125,1.1031069,1.377311457,1.229525857,0,1.046387584,1.228200298,1.340279507,1.369182533,1.528651754,1.537711021,rejected,0
105,BAG1,0,0.577122509,0.624437641,0.854292884,0.659071459,0.828678659,1.066561531,0,0.322141871,0.493097961,0.526320697,0.611500527,0.915834103,1.167446803,rejected,0
106,BAHCC1,0,0.773123336,0.907771315,1.066202208,0.894147634,1.147160675,1.840489492,0,0.764709641,0.77225429,0.800746319,0.869975005,0.989171109,1.626246421,rejected,0
107,BAIAP2L2,0,0.407577717,0.478980737,0.768074928,0.919801372,0.761332993,0.909406312,0,0.367290746,0.37777705,0.48474721,0.552855602,0.725661495,0.736932259,rejected,0
108,BASP1,0,0.533892148,0.873364803,0.864390783,0.92909709,1.078678332,0.744368703,0,0.682280598,0.935351064,0.968235617,1.023165315,1.053644565,1.36351824,rejected,0
109,BBIP1,0,0.915085779,1.060506508,1.018577278,1.233894589,1.604577493,1.580204647,0,0.908589795,0.939232809,0.953856356,1.265155306,1.546326575,1.797220543,rejected,0
110,BBS9,0,0.816835957,1.071247801,0.975849615,1.027678261,1.444941276,1.552995856,0,0.776001608,1.003832399,1.044696623,1.125808632,1.422817176,2.4878743,rejected,0
111,BCAR1,0,0.832933258,1.263708591,1.037122237,1.156352491,0.961007482,1.22534388,0,0.799803544,0.868634721,0.960413846,1.049616036,1.065775403,1.750581846,rejected,0
112,BCDIN3D,0,0.826038172,1.007953072,0.818483954,1.275669794,1.414285663,1.613861074,0,0.756740245,0.931423311,0.974161052,1.185361332,1.333385369,1.473445986,rejected,0
113,BCL10,0,1.067816292,1.079278166,1.151990818,1.293512971,1.065327064,1.488031133,0,1.034585842,1.087328803,1.205596144,1.223408381,1.41655642,1.586957669,rejected,0
114,BCL2L11,0,0.80947143,0.851575296,0.750714761,1.088099694,1.348368594,1.190207244,0,0.609111437,0.768142661,0.963333428,1.158226719,1.65659872,1.778854188,rejected,0
115,BCL3,0,0.89061822,0.94436726,0.800284515,1.10605301,1.378968508,1.704009224,0,0.867544465,1.030344289,1.066343562,1.137298284,1.717037977,1.948453012,rejected,0
116,BCL6,0,0.775480018,1.022354647,0.838892286,0.849667474,1.431188967,1.115213046,0,0.625463908,0.652582342,0.739005279,0.739851789,0.875741079,0.966491765,rejected,0
